EmployeeID,SSYear,HiringDate,DismissalDate
6F052BA0-B4C1-4F53-92F6-BCF3AC4B53D0,0.25,2019-03-01,NULL
978626C9-B76A-4446-8A56-BCF614D94464,5.82,2014-09-01,NULL
4639B274-E3C7-4180-9236-BCF8C833BCA2,0.50,2019-01-01,NULL
043DE661-7639-4DA3-8374-BCFB84953099,11.50,2008-01-01,NULL
49D34918-348E-4887-BCCE-BD011F9841AA,6.67,2018-07-01,2019-02-01
605AC228-9A09-43E4-A64F-BD036AA91C69,3.00,2016-07-01,NULL
C399129F-7FF4-425D-9B84-BD0CF597F104,1.08,2018-06-01,NULL
20FE7482-2CA8-4254-8E64-BD0D35F5C244,1.58,2017-12-01,NULL
F2602D87-98F8-428A-BD2B-BD24DA99904C,8.67,2010-11-01,NULL
1D401415-80B5-4674-B2F0-BD3522AC2D6B,0.83,2018-09-01,NULL
85AE236B-726E-4D8C-9A98-BD37297A2F6C,2.09,2014-12-01,2017-01-01
21701253-156D-4A26-BD63-BD3E11E95CD9,1.17,2018-05-01,NULL
CDA3F1A4-BBFB-412B-82FC-BD486CC46AC3,0.38,2017-05-01,2017-10-01
A0A86186-02CF-4FE4-8529-BD50963341F6,1.00,2018-07-01,NULL
96F171EC-1AF1-4E1C-897F-BD5127327A83,3.33,2016-03-01,NULL
5673BC0E-2454-4BDF-8FE0-BD5B0AB65E45,1.67,2017-11-01,NULL
F5555C0F-C125-4310-963C-BD5DBD08D618,5.33,2014-03-01,NULL
97025656-62CA-4632-80C2-BD646959DC62,13.25,2006-04-01,NULL
72799AF6-F805-487D-8A41-BD64E0395F8D,1.08,2017-03-01,2018-03-01
44FD8B5E-EF62-4B90-B6B1-BD66D0C345A7,1.00,2018-07-01,NULL
E5DFEB9A-2673-4C8D-85F4-BD6DBA4A8B89,3.00,2016-07-01,NULL
2AF0F3E5-530D-413F-B8EF-BD701BB0F6F0,1.33,2018-03-01,NULL
117546AD-C911-41BB-9B46-BD79210E847D,4.77,2013-01-01,2017-10-01
2F6C9798-BEDA-4C4D-B10B-BD8998ACEF56,2.17,2017-05-01,NULL
45E39B35-C178-4C86-A987-BD8FB07B4213,1.00,2018-07-01,NULL
DD0C3559-CB37-4DEE-A47D-BD908CDB7944,1.58,2017-12-01,NULL
9D3655D0-C489-46AA-95C7-BD973239CBBD,5.17,2014-05-01,NULL
2736E8A6-97AC-4B47-9785-BD9A249643E7,2.75,2016-04-01,2018-12-01
F6A0B627-911F-4B74-B75D-BDA151AD1BB6,0.41,2017-04-01,2017-09-01
C4F50CA0-7B96-47FA-8AEF-BDA55E2A3DBF,0.27,2017-02-01,2017-04-01
E8A75F4F-ABF1-403C-A218-BDA5935AF982,11.61,2004-04-01,2015-12-01
1DD8375C-E146-495D-8E30-BDAB500E3A39,1.17,2017-03-01,2018-04-01
46A1E567-8D28-4407-9BBA-BDB36BCA952C,0.58,2018-12-01,NULL
4EA78FAF-6E9E-4B7A-8CD8-BDB7A7B21A81,0.92,2018-08-01,NULL
F72D1E16-F67B-4B6A-93CC-BDB9858259EB,0.75,2018-10-01,NULL
88FFFFCB-E4D8-4478-9B66-BDBA8D2D9A16,5.58,2013-12-01,NULL
A29877E1-4189-4E85-A134-BDBC3638B3CC,4.48,2015-09-01,NULL
8549A3D0-3367-4CB8-A082-BDBDF23B6FA1,0.14,2019-04-01,NULL
566AA999-252E-465B-AD17-BDBE18FFD0D7,0.10,2019-05-01,NULL
A3B93AAE-948B-4A8D-9BBE-BDBF74B0D82D,2.16,2015-10-01,2017-11-01
23FC8A06-A720-49A0-952E-BDCDDAA65256,1.17,2018-05-01,NULL
A09B6B0B-41AF-428F-804F-BDD39AA0EC23,0.16,2019-04-01,NULL
2929754A-83E3-45E7-A4BB-BDDDA618B622,3.74,2013-11-01,2017-09-01
9915C1E8-B18C-4407-9219-BDDF6F7BBD00,0.50,2019-01-01,NULL
DE825DCA-27B7-49D8-9C31-BDE1EF867B87,1.28,2014-04-01,2015-08-01
D0D796CA-4B3F-4E88-9B1B-BDEADDAA85E2,1.75,2017-10-01,NULL
D0E6E425-C92D-4458-86E3-BDF2934F8F97,0.16,2019-04-01,NULL
F76C70B2-7203-4C84-B8ED-BDF6FFCB5D12,0.93,2013-10-01,2014-09-01
F3BAE4F6-FAEE-4301-885C-BDFC50456FF5,0.92,2018-08-01,NULL
01630F8F-6C22-4111-A67C-BDFCF1CDAE88,1.08,2018-06-01,NULL
8ECAEACE-1D4D-43E9-83D9-BE03D7C74CBF,10.83,2008-09-01,NULL
2E214285-F12E-4E60-9D16-BE05BB42BCDD,0.92,2018-08-01,NULL
13C9C1AE-C78D-4705-BF2B-BE1783BBBA6E,0.46,2016-05-01,2016-09-01
3179140C-9F17-4AF0-A583-BE1D9B91E3F4,10.89,2016-06-01,NULL
C8FFE833-32A2-44C5-9460-BE1F8C513E3E,0.58,2018-12-01,NULL
1525AFD1-9C37-4F82-A327-BE215E06E415,4.08,2015-06-01,NULL
9989FB9F-5765-4633-A9CE-BE222F20FE48,0.24,2018-05-01,2018-07-01
C644422A-D0A3-4808-8A1E-BE29923DF568,2.22,2013-03-01,2015-06-01
F7168C9A-0C4D-4472-9D5B-BE2A8FC92553,0.50,2019-01-01,NULL
E65B6E69-15F1-4DD8-ABC6-BE2F11D87362,4.17,2015-05-01,NULL
A039E4B1-8F37-4168-92EF-BE313E9D1D02,12.17,2007-05-01,NULL
4280F742-077C-4D8D-AD0D-BE338D663BEA,0.31,2019-02-01,NULL
D7ABFC57-D2C8-49D3-BC08-BE343EB9EBD5,4.83,2014-09-01,NULL
83FA75B7-AAE2-48F8-BF51-BE3A0A5522BC,0.67,2013-08-01,2014-04-01
597B2593-3D2B-4B50-9489-BE3FBB669E86,0.54,2013-08-01,2014-02-01
C5F9626F-2D2B-4AB0-B114-BE40530239EB,3.16,2013-08-01,2016-10-01
A4ECBA4E-B3EB-4C32-A1D0-BE4759E8C7AB,2.42,2017-02-01,NULL
85694250-7733-44E1-8C1E-BE479B0F8867,2.84,2012-11-01,2015-04-01
A9E9A5D3-E113-4C4E-983B-BE48B9BDA786,5.67,2013-11-01,NULL
5EA67B3B-F801-4A31-9CA0-BE4FC785048E,0.99,2014-03-01,2015-03-01
8CAAAAFE-DDF0-4AD2-A055-BE59EBCA5754,0.86,2014-05-01,2015-03-01
E3EFE35F-68EB-4DA9-8682-BE61101E1FBC,5.50,2014-01-01,NULL
3134EB0A-B2DF-4A81-B305-BE66F0B4CABB,1.99,2015-03-01,2017-02-01
B339E65F-4D0C-494B-BE7C-BE6B0ACCDC56,2.00,2017-07-01,NULL
7B1E84EC-41AB-4772-869B-BE6BE0DB9E73,0.77,2013-11-01,2014-09-01
2BBE9D17-31E5-4B0E-83D2-BE6C34E57D80,1.75,2017-10-01,NULL
05B9F1FA-A101-4D35-B65F-BE6CA532CB8F,0.48,2013-12-01,2014-05-01
63B25462-BA79-4A74-B95D-BE76290A90FB,1.75,2016-02-01,2017-11-01
ABEF0425-9A8D-4272-8BE6-BE781A208ACE,0.58,2018-12-01,NULL
4DD926B4-B287-41CA-95F3-BE843D465621,1.92,2017-08-01,NULL
0074F2BF-ECEA-484A-9355-BE8EE3E8642F,7.25,2012-04-01,NULL
421D28FC-4BA9-417D-A6FE-BE8FC13E0C2C,8.08,2011-06-01,NULL
732CA608-CBEC-414E-92F5-BE97818814EB,2.04,2013-03-01,2015-03-01
8577D7FE-6FE1-45B3-BAB5-BE98D076102F,0.67,2014-12-01,2015-04-01
5F3888DA-AC88-4B7D-9A72-BEB8632FF970,1.58,2017-12-01,NULL
6CAA7CB3-F713-4BA0-B543-BEBD89838EAC,4.08,2015-06-01,NULL
4330FEC6-A955-4760-90C6-BEC33354C3F8,12.17,2007-05-01,NULL
3E8AB663-A8DE-4404-9F70-BECE0320CA38,5.83,2013-09-01,NULL
BBEEF7B0-D2C6-47CA-8A76-BED54FE81E7F,1.73,2012-12-01,2014-09-01
9F2A09AB-73A9-43D3-96CC-BEDA4D157BA4,1.12,2013-04-01,2014-06-01
B7AF6CFB-7301-4D3D-84DA-BEDAEB36D757,3.33,2016-03-01,NULL
2E1382B4-12AF-48AE-83D5-BEDC2144B481,0.09,2018-08-01,2018-09-01
EEA7E4F2-C7A7-4125-8970-BEDFF328C46C,0.69,2014-04-01,2015-01-01
EF120FEB-3284-4F3F-AA16-BEF260BF4DBF,0.83,2018-09-01,NULL
95550605-D6B5-4636-9270-BEF3A0B3D1CB,1.58,2017-12-01,NULL
1AF460AE-849F-4D5D-9951-BEF5A004D8C1,0.83,2018-09-01,NULL
F73877EA-EA76-4B58-90C0-BEF94FFF5735,6.67,2012-11-01,NULL
2F683322-CA7E-4DB0-821A-BEF9527085D0,1.83,2017-09-01,NULL
17A42BB7-347F-4CA8-9AF1-BEFA18FA28F4,14.33,2005-03-01,NULL
3E837D9A-003E-478B-839E-BEFF9C74633D,2.92,2016-05-01,2019-03-01
B41215CE-3C27-464C-9169-BF0FEB4F32FD,0.15,2018-02-01,2018-03-01
C5C9A0CB-FD0B-4185-AE7C-BF146C9D9402,1.83,2017-09-01,NULL
FEA25F76-6EB8-4507-8563-BF1689733F7C,1.00,2018-07-01,NULL
1A39B78B-D3D8-4610-8650-BF1DAD53031C,1.00,2018-07-01,NULL
D41387C3-46F2-42A5-BDD6-BF2206240CCF,6.58,2018-05-01,NULL
415B052F-5E22-404A-8E94-BF28D74F0852,0.01,2019-06-01,NULL
D27F3394-835D-4C21-8240-BF2DD924E1D8,2.48,2012-12-01,2015-06-01
CBD977B2-234E-4427-9AC5-BF3A8012F903,2.08,2017-05-01,2019-05-01
93A2F429-4826-4AB8-9DEC-BF3BB8630B0E,5.75,2013-10-01,NULL
9EBC4A96-AD4F-4785-9434-BF499C64106F,0.83,2018-01-01,2018-10-01
E63FA813-6B65-4A9F-BC27-BF49A24BA52C,3.25,2012-12-01,2016-04-01
77562568-6E21-4801-B424-BF4C11623185,3.33,2017-06-01,2018-04-01
0B44D097-6E96-4DFE-BE0B-BF4D4D674F57,2.67,2016-11-01,NULL
BF3FD610-63CA-46EC-B397-BF4E75DC4125,13.17,2006-05-01,NULL
B50D1800-0FDE-4015-BD84-BF528733D8F7,6.67,2012-11-01,NULL
95523E12-4073-4714-9935-BF5725AAAE74,8.00,2014-07-01,NULL
CEC03D4D-13CF-4D47-A322-BF59F8CD1D07,2.92,2016-08-01,NULL
020BDFB4-C823-4D66-AB9C-BF5AEEFD1DD1,1.31,2015-11-01,2017-02-01
30A04225-D012-4812-A86A-BF5D3929B5F4,0.50,2019-01-01,NULL
4743B845-E136-4737-8251-BF60C70F2AAC,1.25,2014-02-01,2015-05-01
7B0FB786-87A7-475D-B46F-BF619B04CBE7,0.83,2018-09-01,NULL
712CEE1B-FA5F-4C7A-BE10-BF75B9344660,5.75,2013-10-01,NULL
DFCFB411-983D-4F26-B0E2-BF7D3694925E,2.92,2012-11-01,2015-11-01
374E2D2D-4DF0-48B9-8D27-BF8004BD32BA,0.67,2018-11-01,NULL
2BBA8440-4E65-4CD2-88B1-BF8784AD7398,2.33,2017-03-01,NULL
A774FB85-9180-4136-8423-BF87D89A719E,1.50,2016-08-01,2018-01-01
60D044F7-7534-4402-9502-BF8CD9AD5902,1.27,2016-08-01,2017-12-01
3FBF0346-5A8F-48D2-B900-BF8DE84BA47F,0.04,2019-05-01,NULL
6C49AA30-57BF-4810-873D-BF99F9935E69,3.25,2016-04-01,NULL
414D0972-6E5E-424C-9BB2-BF9C3A49093F,5.58,2013-12-01,NULL
347C05FD-BEAC-4002-81DB-BFB406C300D2,0.67,2018-11-01,NULL
9559D284-BCB0-4CC5-AA76-BFC3A08CA6A5,5.33,2014-03-01,NULL
F272A9F1-784D-45EB-B69E-BFC6A95FF0E1,3.16,2013-01-01,2016-03-01
1B429B52-26DE-4047-9DB4-BFDE5F904CAC,0.58,2018-12-01,NULL
3615EE5F-7BFA-437C-9958-BFEC057E17B9,0.29,2018-10-01,2019-02-01
3A9CA150-A21C-45CD-83DD-BFEC9427F792,0.58,2018-07-01,2019-01-01
2B0C2535-A837-4FF6-99A5-BFF3A4CCFE00,1.08,2018-06-01,NULL
51A0CF83-B17B-4AD6-AAF1-BFF589A020DB,0.50,2017-01-01,2017-05-01
9BE0287A-32C3-4205-9E57-BFF59DC8B7E6,0.05,2019-05-01,NULL
3BC3D1B5-C568-4672-B981-BFFABA2E6E95,0.71,2015-11-01,2016-08-01
351C1245-5286-4A4F-B4DD-BFFF24D64683,2.25,2016-03-01,2018-05-01
CE904A38-57FF-4A44-84A4-C0059217707E,4.05,2011-12-01,2016-01-01
DB535CC5-906D-421C-B1D0-C007A679626A,0.04,2019-05-01,NULL
3E807D8C-AAC1-4E80-97AC-C00DF1A288A5,4.00,2011-10-01,2015-11-01
9078A262-ECFF-4F1D-9938-C01532E1EAD9,3.50,2015-10-01,2019-03-01
E3D8F1A3-2740-441F-BE7C-C01B50AD5B56,0.50,2019-01-01,NULL
61EDBB77-C499-4D96-A8CD-C01CA8028433,1.08,2018-06-01,NULL
093A9391-A0ED-472E-A9F9-C01E87E4DD87,2.34,2013-06-01,2015-10-01
62FDC04A-07B2-474D-96EF-C0225F2AD0DA,3.15,2013-12-01,2017-02-01
ADB46582-3A97-46F9-993D-C02867D26F78,3.92,2015-08-01,NULL
71AE6A0C-A93C-4F69-A7D2-C029C89BD5B6,1.93,2012-05-01,2014-04-01
ED4A14A2-DCEA-4BBD-B948-C030E419A21A,1.50,2018-01-01,NULL
A8FA1E09-B388-4C33-BDB6-C041B89EA2DE,0.33,2019-02-01,NULL
8863DD5E-31C1-416B-A061-C04334427C98,0.25,2019-03-01,NULL
4E9336EB-FBF7-459E-AC2D-C045027E7AFB,0.75,2016-06-01,2017-02-01
1DEBD94C-D180-44EE-A1E4-C046A2CAA02A,5.42,2014-02-01,NULL
7494E149-A2C0-4806-81C9-C0483695A1C0,4.26,2009-10-01,2014-01-01
59CF97BF-6E0E-44B9-8C15-C0524CEBDCDF,1.33,2013-01-01,2014-06-01
71329E1E-DD5F-4E88-8783-C057BEA0B24B,0.83,2018-09-01,NULL
7078D0D9-BF5C-4268-851F-C05ADEE95BFA,4.17,2019-02-01,NULL
4BC16C01-B326-400B-8C6F-C05B0D373320,1.75,2017-08-01,2019-04-01
1BF994B2-B998-4C53-AD7C-C05F649B99CA,1.14,2016-02-01,2017-04-01
4343599D-CF15-474F-A8C9-C05FD7300560,2.25,2017-02-01,2019-04-01
D3A28E94-A021-4266-82DB-C06646061CEF,0.33,2019-03-01,NULL
FAB524D6-54C7-4980-B11F-C066EE023DDB,1.50,2018-01-01,NULL
904278D0-C1E5-4F76-836D-C067665BF98D,0.55,2017-02-01,2017-09-01
72CD20D0-3C5E-4629-9B93-C08438DB27F4,16.05,2003-04-01,NULL
42A6C02C-1E0D-4C55-B26D-C089CE875D31,5.67,2013-08-01,2019-03-01
2603C4A9-417E-44F0-B9A7-C08C3FC33078,1.97,2015-12-01,2016-11-01
93C2B81F-1472-4750-BA8F-C08FF8C8590E,2.42,2017-02-01,NULL
525B7599-AA18-40FE-BAA9-C095456CC3EF,0.58,2018-12-01,NULL
B7AAD395-AF49-4B11-877A-C09A919EE713,4.08,2015-06-01,NULL
3687DB1D-F2B6-4C83-9FF7-C09D0651AF32,1.37,2015-09-01,2017-01-01
1CB6A410-16B3-4EBB-96DB-C0A19848A343,1.88,2012-02-01,2014-01-01
A98E9FB0-FF1A-4356-98D4-C0B1A467F537,1.39,2012-09-01,2014-02-01
DFE8A02F-B3FC-4513-8A12-C0B50141FA84,0.31,2016-06-01,2016-10-01
449F7C76-E4F7-4AE6-BE62-C0B581088203,1.83,2017-09-01,NULL
8ECEEDF8-A002-425B-B15A-C0C02FC5FA6E,1.08,2018-06-01,NULL
FF9D0956-E4DC-47D4-85BA-C0C3F852824B,2.21,2015-09-01,2017-11-01
0671FA49-8CA0-466F-A1EA-C0C6F32EE831,0.33,2019-02-01,NULL
1DEA6935-8617-4FEB-B146-C0C86309B90A,4.92,2014-08-01,NULL
9D4C9311-0CD2-4FEC-B86C-C0D2F7B31F8A,0.12,2014-06-01,2014-08-01
D93BA023-DC30-4A26-9993-C0D46BB29B71,1.76,2016-02-01,2017-11-01
A2178DE4-FE6F-4841-865D-C0D550D01B71,1.92,2017-08-01,NULL
94B856F6-30AA-45D4-B8D2-C0D933C19EA0,2.26,2014-08-01,2016-11-01
EC92EB85-77D8-40E1-8F7A-C0D954111A90,4.75,2014-10-01,NULL
89F21E40-6380-4A36-B95B-C0DB6FC3346B,3.67,2018-03-01,NULL
D8B3109B-35BC-4B7F-8D7D-C0DCCD064893,0.92,2018-08-01,NULL
994E5847-EC0E-4BFE-8826-C0DE0CB32E53,0.02,2019-05-01,NULL
68022ADC-D3E3-4706-BD63-C0E71728E16A,0.12,2019-04-01,NULL
9F55C5C3-A2E8-427A-9590-C0EE232DACF1,5.42,2014-02-01,NULL
BC913A8A-518A-4D46-AF9C-C0EF50CCA6A0,1.25,2018-04-01,NULL
092DBC89-7471-401E-B28D-C0F9ADC07267,2.72,2014-10-01,2017-07-01
5C463CBC-97BA-4944-A56B-C0FD2E55B1C1,2.85,2012-09-01,2015-07-01
BCB2A771-7773-4777-8C82-C100F4F48B33,1.17,2018-05-01,NULL
03440124-67C1-4DA9-AA92-C10593AB0CC1,0.58,2018-12-01,NULL
5EA0ADE8-2ABC-479C-BE47-C106E320A591,0.07,2019-05-01,NULL
1E80ACF5-4779-4228-B4C6-C1092EB80BB9,1.36,2016-06-01,2017-10-01
5B4A88E0-F066-42B8-BDAC-C10AEDF5FE60,1.67,2016-08-01,2018-03-01
96C65CEC-414B-4DD9-8C3D-C10CFE1D8EA7,3.07,2011-10-01,2014-11-01
84235825-A423-4C1A-8958-C1105AC995B7,0.51,2013-07-01,2014-01-01
AF675DCE-7BA9-4D54-8B57-C112D52E0C7A,0.82,2013-08-01,2014-06-01
56196C5B-1B09-4E80-97FC-C113BC37C5B6,0.60,2015-11-01,2016-07-01
7C5532F4-9417-4978-A0D1-C11422DA1152,1.78,2014-09-01,2016-07-01
31F0B1F1-784C-40F0-80E9-C116EA0E14EF,0.06,2019-05-01,NULL
56ACD15A-D949-4C2B-8F5F-C118AFDAA450,0.29,2019-02-01,NULL
4AA86E4A-1F45-4E84-A7DE-C11950ABBF9A,3.18,2012-09-01,2015-12-01
582A54F5-E9DF-44BB-9F45-C11EAA9C69BC,1.42,2018-02-01,NULL
24569BBA-F641-4DB7-8FB3-C120A0D2BFFD,7.50,2012-01-01,NULL
2CCD8533-C4A9-4BCC-A1E0-C120CB9A3383,1.07,2016-07-01,2017-08-01
6052A3A6-81B3-4137-8664-C12563D4E69B,1.04,2013-01-01,2014-02-01
8B528DF3-E06F-4B7C-A6C5-C1263BF9D940,1.25,2018-04-01,NULL
EEB5F316-363A-4C7C-BF23-C129A88C814B,0.60,2013-07-01,2014-03-01
9F7B6BC9-26C2-4568-98B3-C129CB7CB373,0.00,2016-05-01,2016-05-01
4CD5EC50-9A61-4093-9381-C12D615F2A26,6.50,2013-01-01,NULL
40146719-516C-4782-AA9A-C12DFFE95360,2.42,2017-02-01,NULL
EA44BD45-6BE7-41AA-9C0B-C135288C07D5,2.05,2014-01-01,2016-02-01
BA00D28C-A1FF-4824-AE35-C136373B2B02,1.92,2017-08-01,NULL
BC8278B0-A30A-4065-BA16-C1380CFA2204,0.58,2018-12-01,NULL
F89E0B2D-E332-4237-99D1-C13995CC8564,2.17,2017-04-01,2019-05-01
7325B6E3-1E5C-48A3-A59D-C1409E823C5D,0.08,2019-05-01,NULL
65B1BB9B-EBFD-4B65-8DFF-C142802411C5,1.58,2017-12-01,NULL
3FAD77A0-41E5-44CF-845A-C143B8E0657D,0.27,2019-02-01,NULL
CD136AD9-090A-4E72-8ACA-C145F30F6F89,0.50,2018-08-01,2019-01-01
1A2CBD6F-6AAE-492F-B8AC-C14B170DF56B,0.58,2018-12-01,NULL
996C3E1B-A396-41A7-9D12-C14B68CF429A,5.71,2011-11-01,2017-08-01
84EF1B9A-3F55-4338-90C2-C150954C884D,1.42,2018-02-01,NULL
A9C3B72F-7964-464C-8BA0-C1568FA48CD2,0.73,2014-06-01,2015-03-01
7D49CFA9-362D-452A-9BB4-C15AAAE7A2DD,0.32,2019-02-01,NULL
0BBAEF7E-245E-43BF-AE3F-C1645FA9120E,1.33,2018-03-01,NULL
B678F10D-914A-4A4C-A7FC-C16514782273,7.08,2012-06-01,NULL
57184A42-E7A3-46BB-8E16-C16F5FE2D2A8,2.29,2015-07-01,2017-11-01
57102C68-5583-4EF4-A8B7-C176AE2E5BFC,0.58,2018-12-01,NULL
FDB13ACE-2E4C-4525-A95F-C178787B76E2,0.98,2015-03-01,2016-02-01
F26ACC7C-6BA6-401B-BF7E-C180EF0B0748,0.67,2018-11-01,NULL
C0B20F0A-8B8B-45B9-A1A0-C182201EBF31,3.00,2016-07-01,NULL
59AA071A-7D13-48E3-B9F2-C184B9E0456D,0.85,2016-03-01,2017-01-01
DE3F6EF7-873F-4721-A3B7-C18815643CA1,5.77,2008-10-01,2014-07-01
0032E9F5-9CE0-42DD-A612-C189DA0D3C12,10.61,2009-12-01,NULL
C4D51B85-D010-410D-A290-C18DD6D6CF6B,14.08,2005-06-01,NULL
58A37B04-0753-4209-87EA-C190007FAE34,0.58,2018-12-01,NULL
B43449D3-79A2-43D0-9E82-C19084CE97E6,5.58,2013-12-01,NULL
A520A36C-B5EC-4E91-8801-C197ECF4C664,1.33,2018-03-01,NULL
58770A5B-135B-4990-A954-C19850E39EE6,1.67,2017-11-01,NULL
16A17FE8-720C-464D-8D51-C1A0CA560A50,0.30,2015-11-01,2016-03-01
50F66A94-07CB-4630-A8C1-C1A1C2473CCD,0.30,2019-02-01,NULL
6AE634EA-97D1-4D32-B678-C1A1F4115803,0.58,2018-12-01,NULL
9B5003D0-B4BD-4EF7-88D1-C1A53532AB00,0.02,2017-11-01,2017-11-01
9101A695-7747-4FA3-8B99-C1A79822FD07,2.05,2013-06-01,2015-07-01
3BBB3F3E-6E80-4F1F-A6B7-C1BB414311F4,2.08,2017-06-01,NULL
2FACF347-070B-4E7E-90F0-C1BC499AD01D,1.08,2018-06-01,NULL
8967A067-0302-4E98-9399-C1C024FF7512,5.08,2014-06-01,NULL
C41695D2-5A8E-464B-9B59-C1C0E6303744,0.16,2019-04-01,NULL
B66DD2AD-ADD9-4BEC-BF66-C1C8CE113A8C,1.83,2017-09-01,NULL
057ECB93-1AB8-4AD1-B988-C1C972AA8467,2.25,2017-04-01,NULL
